RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,thread0-p-state,thread1-p-state,thread2-p-state,thread3-p-state,thread4-p-state,thread5-p-state,thread6-p-state,thread7-p-state,thread8-p-state,thread9-p-state,thread10-p-state,thread11-p-state,thread12-p-state,thread13-p-state,thread14-p-state,thread15-p-state,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,socket0-temperature
1,1:2:17:511, 1412.44, 1409.33, 1419.77, 1416.19, 1427.85, 1399.77, 1405.96, 1408.16, 1620.19, 1399.87, 1460.42, 1420.67, 1510.72, 1400.66, 1555.17, 1480.16,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.44,    0.01,    0.01,    0.04,    0.02,    0.00,    0.01,    0.00,    0.00,   54.00
2,1:2:18:011, 1412.34, 1417.68, 1528.30, 1422.94, 1447.14, 1524.29, 1443.09, 1428.13, 1399.83, 1399.84, 1415.41, 1415.58, 1399.78, 1399.75, 1399.62, 1399.49,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.30,    0.01,    0.01,    0.01,    0.01,    0.00,    0.01,    0.00,    0.00,   54.00
3,1:2:18:511, 1399.87, 1399.91, 1399.76, 1399.86, 1399.83, 1399.64, 1399.84, 1399.73, 1483.46, 1399.85, 1399.84, 1404.88, 1399.82, 1399.79, 1464.89, 1400.00,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.24,    0.02,    0.01,    0.01,    0.01,    0.00,    0.01,    0.00,    0.00,   53.88
4,1:2:19:011, 1474.64, 1409.26, 1407.98, 1427.36, 1478.25, 1399.88, 1399.75, 1455.13, 1399.81, 1399.82, 1399.88, 1416.78, 1399.76, 1399.24, 1399.71, 1399.58,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.32,    0.01,    0.01,    0.02,    0.01,    0.00,    0.01,    0.00,    0.00,   53.88
5,1:2:19:511, 1399.84, 1399.88, 1410.71, 1403.66, 1442.35, 1399.85, 1419.94, 1399.78, 1399.88, 1399.92, 1399.88, 1421.66, 1412.10, 1399.71, 1399.86, 1399.77,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.34,    0.02,    0.02,    0.01,    0.02,    0.01,    0.01,    0.00,    0.00,   53.88
6,1:2:20:011, 1399.83, 1416.51, 1432.39, 1444.06, 1417.62, 1399.82, 1416.63, 1410.74, 1399.78, 1399.82, 1440.07, 1399.74, 1419.64, 1399.82, 1399.85, 1399.80,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.40,    0.01,    0.01,    0.02,    0.02,    0.00,    0.01,    0.00,    0.00,   53.88
7,1:2:20:511, 1426.56, 1405.04, 1418.68, 1417.56, 1469.38, 1399.75, 1417.50, 1434.86, 2090.07, 1399.83, 1399.53, 1405.80, 1419.74, 1399.22, 1399.90, 1546.48,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.69,    0.01,    0.15,    0.02,    0.01,    0.00,    0.01,    0.00,    0.00,   53.88
8,1:2:21:011, 1399.88, 1399.94, 1423.36, 1430.44, 1446.11, 1399.79, 1476.95, 1404.12, 1517.39, 1828.29, 1524.91, 1425.15, 1463.51, 1399.57, 1399.76, 1399.89,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.12,    0.02,    0.01,    0.02,    0.01,    0.00,    0.01,    0.00,    0.00,   53.88
9,1:2:21:511, 1399.82, 1399.92, 1399.87, 1404.72, 1399.88, 1399.85, 1427.49, 1575.73, 2292.49, 1399.94, 1399.96, 1408.88, 1425.28, 1399.61, 1620.71, 1399.79,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     1,     1,     1,     1,     1,     1,    3.36,    0.01,    0.01,    0.02,    0.02,    0.01,    0.01,    0.00,    0.02,   53.88
10,1:2:22:011, 1404.77, 1492.58, 1433.97, 1531.59, 1440.83, 1399.86, 1488.48, 1447.78, 1399.88, 1399.90, 1399.86, 1402.92, 1429.73, 1399.78, 1399.82, 1399.89,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.23,    0.01,    0.01,    0.02,    0.01,    0.00,    0.01,    0.00,    0.00,   53.75
11,1:2:22:511, 1399.89, 1412.13, 1424.49, 1418.95, 1402.74, 1399.85, 1472.61, 1427.47, 1399.85, 1585.40, 1408.71, 1399.77, 1426.49, 1490.17, 1528.73, 1399.82,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.53,    0.01,    0.02,    0.04,    0.02,    0.01,    0.01,    0.00,    0.00,   53.75
12,1:2:23:011, 1399.82, 1412.83, 1414.34, 1403.55, 1399.82, 1399.87, 1421.42, 1427.88, 1513.16, 1399.80, 1422.70, 1401.56, 1449.65, 1399.15, 1399.78, 1399.80,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.29,    0.01,    0.01,    0.02,    0.01,    0.01,    0.01,    0.00,    0.00,   53.75
13,1:2:23:511, 1407.86, 1409.09, 1436.78, 1402.76, 1423.70, 1399.92, 1419.90, 1429.13, 1436.59, 1399.90, 1449.38, 1401.98, 1458.98, 1399.47, 1534.27, 1759.46,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.23,    0.01,    0.02,    0.02,    0.01,    0.00,    0.00,    0.00,    0.00,   53.75
14,1:2:24:011, 1399.96, 1399.82, 1399.83, 1399.85, 1399.91, 1399.73, 1399.79, 1399.77, 1399.83, 1399.82, 1399.83, 1415.95, 1399.82, 1399.78, 1399.87, 1399.76,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.30,    0.01,    0.01,    0.01,    0.01,    0.00,    0.01,    0.00,    0.00,   53.75
15,1:2:24:511, 1399.80, 1399.89, 1407.56, 1399.88, 1401.03, 1399.96, 1402.84, 1405.95, 1399.84, 1399.85, 1399.88, 1399.78, 1399.90, 1399.69, 1399.89, 1399.93,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.37,    0.01,    0.01,    0.02,    0.02,    0.00,    0.00,    0.00,    0.00,   53.75
16,1:2:25:011, 1399.79, 1411.93, 1445.85, 1433.97, 1441.74, 1400.47, 1459.22, 1488.24, 1399.86, 1481.65, 1421.25, 1427.93, 1432.29, 1399.78, 1399.71, 1399.61,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.22,    0.01,    0.01,    0.03,    0.01,    0.00,    0.01,    0.00,    0.00,   53.62
17,1:2:25:511, 1399.80, 1401.78, 1403.05, 1400.74, 1399.82, 1399.61, 1406.45, 1466.18, 1476.16, 2128.42, 1399.83, 1399.78, 1399.76, 1460.97, 1524.47, 1399.82,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.12,    0.01,    0.01,    0.02,    0.01,    0.00,    0.00,    0.00,    0.00,   53.62
18,1:2:26:011, 1399.72, 1406.02, 1395.24, 1414.80, 1422.53, 1399.81, 1399.79, 1435.19, 1534.28, 1399.93, 1399.90, 1410.52, 1418.49, 1399.81, 1543.19, 1399.84,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.53,    0.01,    0.01,    0.02,    0.01,    0.00,    0.01,    0.00,    0.00,   53.62
19,1:2:26:511, 1399.96, 1403.68, 1407.22, 1420.85, 1407.11, 1399.79, 1430.44, 1409.67, 1399.78, 1399.87, 1399.88, 1399.75, 1399.76, 1399.91, 1399.94, 1399.61,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,    3.30,    0.01,    0.01,    0.01,    0.01,    0.00,    0.00,    0.00,    0.00,   53.62
