Core-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-0,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
18.79,1901.27,0.92,1.09,0.02,0.39,0.45,153.88,60.23,443.37,23.18,2.10,0.07,0.98,1.30,27.63,119.95,77.15,33.30,9.52,24.63,11.43,8.54,4.66,61.83,41.63,15.33,4.87,627209.00,57953.00,9.24,446.89,
29.71,1976.42,0.97,1.03,0.02,0.41,0.48,163.75,67.52,474.98,36.30,0.87,0.08,0.31,0.02,37.58,117.83,70.71,34.44,12.53,56.12,30.81,18.16,7.16,52.76,38.37,9.02,5.37,525262.00,71201.00,13.56,602.03,
17.17,1804.29,0.99,1.01,0.02,0.39,0.48,178.58,70.40,479.66,26.33,5.38,2.19,0.76,0.04,34.70,58.03,25.88,20.26,11.97,24.14,1.05,14.46,8.63,18.49,9.07,6.08,3.34,481940.00,66661.00,13.83,476.75,
4.18,1625.43,0.86,1.17,0.01,0.13,0.15,37.92,4.75,539.19,22.91,1.90,0.31,1.09,0.09,26.30,31.18,4.96,23.15,3.13,21.89,6.34,13.04,2.51,18.64,10.10,7.91,0.63,47191.00,5707.00,12.09,415.62,
24.45,1778.19,0.99,1.01,0.02,0.39,0.45,166.42,65.27,456.18,22.15,1.51,0.11,0.51,0.04,24.32,45.15,17.29,23.17,4.88,45.27,33.03,8.83,3.41,26.31,21.66,3.19,1.47,504480.00,47421.00,9.40,936.12,
0.41,1758.12,0.60,1.65,0.08,0.21,0.19,98.54,20.63,626.91,23.45,1.43,0.08,0.90,0.08,25.94,96.07,25.83,31.72,39.09,63.08,18.57,20.94,23.57,29.01,8.37,5.12,15.52,467053.00,152578.00,32.67,622.61,
1.32,1754.20,0.71,1.41,0.04,0.22,0.17,84.51,18.22,627.68,32.20,0.66,0.07,0.29,0.06,33.28,74.51,16.22,28.15,30.50,120.61,83.71,17.32,19.58,76.97,60.72,5.31,10.92,713732.00,70643.00,9.90,379.08,
3.21,1686.20,0.69,1.45,0.03,0.22,0.21,111.08,24.83,614.79,30.90,0.61,0.05,0.16,0.04,31.77,104.51,36.28,31.95,36.81,67.32,25.86,18.79,22.67,34.73,15.40,5.19,14.14,453068.00,50893.00,11.23,413.26,
2.41,1611.39,0.78,1.29,0.03,0.23,0.24,141.44,33.05,610.31,23.95,1.37,0.11,0.85,0.06,26.33,76.38,21.10,28.99,26.79,58.08,19.31,19.80,18.98,20.24,5.64,6.77,7.82,269996.00,31161.00,11.54,472.09,
1.96,1759.47,0.74,1.35,0.04,0.24,0.22,130.66,31.32,636.22,22.89,1.74,0.07,1.16,0.05,25.91,90.11,23.79,30.69,36.30,59.51,17.09,20.94,21.48,27.33,7.89,4.62,14.82,640827.00,51852.00,8.09,492.16,
1.39,1692.95,0.66,1.52,0.04,0.22,0.18,96.43,20.90,638.87,25.20,1.68,0.20,1.01,0.12,28.22,161.84,130.48,20.92,15.26,61.82,30.40,20.03,11.38,25.65,14.30,7.48,3.88,482120.00,27413.00,5.69,325.09,
2.59,1759.43,0.70,1.42,0.03,0.24,0.21,131.33,31.69,653.13,16.77,0.24,1.18,0.09,0.20,18.48,159.99,131.79,22.07,11.88,52.26,22.35,20.10,9.81,19.71,10.32,7.30,2.07,506486.00,55854.00,11.03,422.62,
4.60,1499.69,0.75,1.33,0.03,0.20,0.18,88.22,17.94,617.28,23.65,2.02,0.76,1.11,0.21,27.75,66.27,19.02,26.69,20.80,53.08,17.31,20.16,15.62,17.70,6.81,5.70,5.18,98419.00,7567.00,7.69,311.35,
4.27,1759.57,0.68,1.47,0.03,0.20,0.19,94.19,18.75,611.14,21.95,1.89,0.06,0.89,0.06,24.85,94.95,42.16,28.95,25.09,62.11,22.88,20.84,18.39,20.78,7.21,6.87,6.70,410113.00,57324.00,13.98,791.47,
8.63,1530.72,1.05,0.95,0.01,0.26,0.26,170.89,44.38,663.11,23.13,1.83,0.08,0.86,0.11,26.02,78.42,31.85,26.32,21.06,53.86,20.80,18.11,14.95,20.50,8.19,6.20,6.10,128127.00,12217.00,9.54,298.56,
2.21,1499.52,0.76,1.32,0.04,0.23,0.19,114.45,26.45,654.84,23.30,0.09,0.16,0.19,0.05,23.79,76.06,28.38,26.59,21.49,61.10,23.78,21.78,15.54,21.25,7.86,7.45,5.94,193989.00,10258.00,5.29,286.52,
0.60,1610.25,0.66,1.52,0.08,0.22,0.19,96.74,20.84,629.65,23.71,2.27,0.12,1.53,0.07,27.71,70.21,17.88,28.18,24.41,67.70,27.48,22.65,17.57,24.18,10.40,6.94,6.84,391456.00,15866.00,4.05,383.42,
1.77,1499.47,0.63,1.58,0.04,0.24,0.22,135.98,32.31,660.51,22.74,0.41,0.23,0.28,0.09,23.75,68.35,17.50,26.29,24.96,58.77,21.96,20.16,16.65,23.45,8.34,6.80,8.31,432858.00,41306.00,9.54,514.56,
1.34,1499.27,0.85,1.18,0.04,0.29,0.41,384.81,110.79,693.12,22.15,1.62,0.15,1.41,0.09,25.43,71.84,17.80,27.77,26.61,67.74,27.84,21.75,18.15,27.63,13.86,5.31,8.45,74233.00,4477.00,6.03,347.57,
12.93,1495.16,1.27,0.79,0.01,0.18,0.16,59.39,10.93,594.18,22.29,1.82,0.09,1.00,0.10,25.30,41.61,38.68,8.17,3.15,27.52,9.55,15.25,2.72,14.84,6.11,8.30,0.43,280496.00,14260.00,5.08,254.96,
2.55,1497.80,0.67,1.50,0.02,0.17,0.16,50.08,8.49,578.85,4.76,1.08,0.02,1.76,0.09,7.71,54.66,7.49,24.83,23.20,37.57,6.86,15.09,15.62,18.91,2.47,8.71,7.58,169498.00,10253.00,6.05,308.45,
1.65,1735.57,0.55,1.80,0.03,0.14,0.15,53.17,7.37,589.96,20.04,1.37,0.06,0.84,0.06,22.38,75.46,23.77,27.70,24.12,36.99,7.69,12.72,16.58,18.20,5.43,5.10,7.55,113092.00,30406.00,26.89,351.71,
5.94,1758.79,0.44,2.27,0.02,0.15,0.17,69.04,10.50,612.85,18.81,1.65,0.06,0.75,0.07,21.33,76.21,21.57,29.90,27.14,41.54,7.74,15.93,17.86,19.23,2.61,7.30,9.27,290943.00,35462.00,12.19,588.68,
1.84,1495.88,0.71,1.42,0.03,0.11,0.17,74.97,8.43,614.75,23.44,1.85,0.20,1.25,0.10,26.85,51.06,5.12,24.62,21.27,31.77,4.74,13.67,13.36,22.86,6.85,9.04,7.91,161661.00,7945.00,4.91,291.96,
5.53,1732.45,0.40,2.48,0.01,0.07,0.08,27.97,1.97,408.86,12.34,1.50,0.11,1.17,0.05,15.17,107.51,60.62,25.38,24.48,33.62,4.41,14.76,14.46,20.21,3.41,6.76,10.03,270381.00,51218.00,18.94,599.66,
1.67,1655.06,0.70,1.43,0.03,0.12,0.17,64.20,7.86,606.97,18.45,1.53,0.07,0.86,0.05,20.97,43.49,40.61,8.19,3.24,33.22,14.20,16.15,2.88,19.15,10.56,7.34,0.37,259723.00,33925.00,13.06,456.79,
3.18,1706.70,0.77,1.30,0.02,0.17,0.12,45.43,7.72,555.54,23.05,2.17,0.10,1.39,0.13,26.86,55.93,11.01,29.84,16.62,39.34,9.24,17.30,12.81,27.82,18.30,5.75,3.81,548158.00,65703.00,11.99,373.39,
4.06,2124.66,0.25,4.01,0.02,0.16,0.17,52.27,8.61,536.90,23.56,2.20,0.10,1.08,0.07,27.02,46.06,13.61,26.63,6.66,26.53,3.38,17.54,5.61,14.43,8.47,4.16,1.05,149567.00,10282.00,6.87,436.54,
3.29,1519.25,0.59,1.69,0.03,0.20,0.19,71.69,14.42,590.69,20.19,1.65,0.06,1.24,0.06,23.19,41.30,11.83,27.94,5.74,27.48,5.47,16.99,5.02,11.81,6.36,4.80,0.73,433326.00,19642.00,4.53,328.74,
3.89,1531.94,0.47,2.13,0.02,0.22,0.19,64.23,14.21,448.96,18.84,1.78,0.04,1.17,0.03,21.87,35.61,4.31,24.85,6.46,29.83,3.56,20.39,5.88,7.84,4.14,3.11,0.58,160110.00,11035.00,6.89,376.28,
2.29,3059.63,0.44,2.26,0.02,0.17,0.13,48.91,8.37,589.91,19.02,1.77,0.04,1.20,0.05,22.08,54.77,19.52,26.84,5.26,24.31,0.87,18.56,4.88,6.96,3.50,3.16,0.38,306855.00,46176.00,15.05,432.70,
2.75,1883.22,0.57,1.75,0.02,0.32,0.27,86.30,27.96,540.67,17.83,1.99,0.06,1.12,0.03,21.03,29.88,1.83,23.64,4.37,22.79,1.34,17.75,3.70,10.33,3.35,5.39,0.67,155790.00,21341.00,13.70,1387.99,
22.63,1567.62,0.90,1.11,0.02,0.43,0.50,160.73,69.55,471.83,18.68,4.50,0.08,1.81,1.86,26.93,103.03,65.51,31.15,6.36,47.27,26.73,15.93,4.61,65.44,45.44,18.10,1.75,262840.00,47568.00,18.10,566.97,
35.98,1790.53,1.03,0.97,0.02,0.40,0.45,165.27,65.33,469.14,24.92,2.50,2.03,0.31,0.02,29.78,35.43,11.66,18.56,5.15,38.74,18.65,16.06,4.03,73.75,53.35,19.19,1.12,439469.00,84696.00,19.27,382.99,
13.67,1459.05,0.87,1.15,0.03,0.35,0.35,129.16,44.57,360.56,14.85,1.46,0.03,0.82,0.05,17.21,117.07,70.26,35.87,10.94,41.56,19.32,15.45,6.78,62.81,43.31,15.35,4.15,168811.00,7282.00,4.31,332.38,
6.12,1779.40,0.90,1.11,0.02,0.43,0.50,159.03,69.01,485.34,26.30,0.99,0.08,0.33,0.04,27.74,98.80,58.29,33.14,7.77,30.81,18.32,9.09,3.40,56.15,39.54,12.60,4.37,61423.00,13705.00,22.31,480.99,
4.05,2140.90,0.25,4.03,0.02,0.25,0.14,65.96,16.77,590.82,21.20,1.57,0.13,1.37,0.08,24.35,39.18,8.21,28.40,7.06,40.07,11.88,22.22,5.97,30.01,23.29,5.73,1.08,199128.00,11027.00,5.54,373.81,
3.20,2199.75,0.48,2.08,0.03,0.09,0.15,39.22,3.60,560.71,22.39,1.44,0.12,1.29,0.11,25.35,35.90,6.94,24.11,4.88,58.26,26.22,27.52,4.52,46.66,34.42,9.21,0.36,431167.00,34598.00,8.02,456.81,
5.13,1681.49,0.62,1.62,0.02,0.14,0.17,48.49,6.71,562.39,23.94,1.27,0.10,0.85,0.10,26.27,61.32,44.66,15.46,1.98,26.48,5.69,19.31,1.48,11.20,7.66,3.02,0.51,242248.00,13170.00,5.44,363.60,
2.06,1691.09,0.67,1.49,0.03,0.27,0.28,98.04,26.20,609.74,20.99,1.34,0.21,1.42,0.12,24.09,38.68,10.44,22.85,5.37,18.70,0.11,13.69,4.90,7.72,1.18,6.07,0.48,96539.00,5085.00,5.27,346.12,
2.55,1552.19,0.63,1.58,0.02,0.19,0.56,250.35,48.76,591.44,26.85,1.68,0.19,1.37,0.13,30.22,105.33,49.70,28.18,29.09,45.96,13.53,17.05,15.38,22.40,3.47,5.24,13.71,277295.00,39427.00,14.22,818.80,
4.01,1499.54,0.45,2.21,0.04,0.12,0.15,44.32,5.52,564.02,20.50,1.60,0.18,1.32,0.09,23.70,67.73,16.30,29.88,21.54,30.76,1.51,15.43,13.82,21.36,5.34,7.57,7.73,194959.00,9052.00,4.64,296.90,
2.40,1599.19,0.74,1.34,0.03,0.27,0.47,136.28,36.27,563.96,25.34,1.72,0.09,1.32,0.10,28.57,80.29,30.88,24.84,25.45,50.20,15.53,18.54,16.12,25.82,9.75,6.09,9.33,282015.00,57517.00,20.40,642.50,
2.87,1494.15,0.71,1.40,0.04,0.25,0.26,150.55,37.62,637.32,19.52,1.92,0.05,0.96,0.02,22.47,114.57,74.63,21.80,19.35,47.72,18.72,17.25,11.76,24.37,8.91,7.83,7.60,91491.00,5990.00,6.55,283.83,
4.24,1737.04,0.44,2.27,0.02,0.24,0.20,78.86,18.82,577.55,17.25,1.90,0.08,1.51,0.04,20.79,70.58,27.65,27.94,14.92,39.33,12.80,15.00,11.54,35.23,25.95,5.97,3.38,168073.00,7041.00,4.19,429.76,
5.54,1598.02,0.52,1.92,0.03,0.29,0.23,99.62,29.25,587.51,22.75,1.55,0.06,1.41,0.12,25.89,59.26,24.71,27.31,6.22,34.70,12.94,16.05,5.71,14.30,10.63,3.15,0.51,423513.00,18232.00,4.30,369.80,
5.38,1495.25,0.37,2.68,0.02,0.35,0.44,245.97,85.10,581.87,27.32,1.25,0.10,1.00,0.04,29.71,42.62,12.62,23.85,6.46,31.20,8.55,16.90,5.75,13.68,9.47,3.51,0.71,18213.00,3899.00,21.41,373.51,
4.18,2196.94,0.27,3.75,0.02,0.27,0.25,98.53,27.06,578.87,3.23,1.03,0.27,1.81,0.02,6.37,58.82,21.50,28.68,8.89,37.07,12.75,16.58,7.74,19.80,14.64,4.04,1.14,365271.00,13667.00,3.74,375.82,
4.11,1627.95,0.75,1.34,0.01,0.17,0.16,51.65,9.01,559.94,21.73,1.88,0.05,0.92,0.07,24.64,32.30,2.85,25.00,4.48,28.30,7.51,16.73,4.06,13.77,8.18,5.17,0.42,38927.00,5114.00,13.14,337.31,
