Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
0.48,1433.88,0.37,2.69,0.05,0.22,0.53,240.63,52.40,576.58,4.77,0.40,0.18,0.40,0.32,6.06,73.87,46.03,15.48,14.26,46.85,31.75,6.55,8.55,25.79,17.75,1.53,5.70,22468.00,1876.00,8.35,359.47,
0.45,1477.17,0.38,2.64,0.05,0.22,0.53,237.75,51.30,587.50,4.68,1.85,0.02,1.00,0.07,7.61,43.94,41.61,7.87,3.05,40.71,31.65,6.39,2.68,19.89,14.36,1.30,0.37,4324.00,368.00,8.51,268.62,
0.47,1473.68,0.37,2.73,0.05,0.20,0.56,248.74,49.81,587.40,4.63,1.76,0.00,1.16,0.07,7.62,45.67,40.86,7.58,3.46,40.82,31.51,6.32,2.99,19.80,18.06,1.44,0.47,4216.00,332.00,7.87,289.11,
0.47,1457.19,0.37,2.73,0.05,0.20,0.57,251.74,50.33,584.03,4.61,1.76,0.00,1.11,0.07,7.55,45.33,43.52,8.10,3.46,41.82,32.15,6.55,3.12,20.54,17.79,1.38,0.35,4305.00,378.00,8.78,349.14,
0.29,2894.31,0.29,3.48,0.05,0.18,0.57,272.79,50.05,592.56,4.67,1.85,0.00,0.90,0.12,7.54,46.29,41.80,7.53,2.91,37.42,28.65,6.23,2.54,21.09,18.96,1.32,0.37,279813.00,215759.00,77.11,568.01,
0.30,2921.37,0.28,3.59,0.05,0.19,0.56,272.25,50.66,595.33,4.85,1.94,0.00,1.06,0.09,7.95,42.71,41.42,7.42,2.85,37.49,28.75,6.27,2.46,21.90,19.24,1.27,0.39,380429.00,155998.00,41.01,671.00,
0.31,2908.36,0.28,3.60,0.05,0.18,0.56,271.57,50.21,587.45,4.32,1.83,0.02,1.18,0.05,7.40,42.76,41.00,7.67,2.97,41.20,32.06,6.48,2.65,20.83,18.31,1.33,0.31,400170.00,119103.00,29.76,620.51,
0.51,1306.40,0.39,2.57,0.05,0.20,0.54,261.81,51.27,591.53,4.81,1.76,0.00,1.11,0.02,7.71,47.07,40.06,7.70,3.88,40.95,31.39,6.32,3.24,19.99,16.85,1.41,0.64,15706.00,1614.00,10.28,410.40,
0.48,1497.02,0.36,2.78,0.05,0.19,0.56,271.10,51.86,587.14,4.76,1.82,0.00,0.99,0.02,7.59,48.02,44.58,7.62,3.20,42.78,33.17,6.76,2.85,20.17,17.94,1.55,0.35,73158.00,30797.00,42.10,264.60,
0.31,2941.24,0.28,3.60,0.05,0.20,0.58,277.40,54.33,594.15,4.44,1.78,0.00,1.23,0.23,7.68,56.83,67.18,11.11,5.51,41.52,30.58,6.27,4.67,20.44,18.01,1.33,0.84,722092.00,305181.00,42.26,548.82,
0.40,1510.47,0.44,2.30,0.03,0.22,0.53,238.54,52.21,587.59,6.37,1.97,0.00,1.39,0.09,9.82,48.27,42.04,7.85,2.85,56.50,44.19,9.77,2.54,36.06,20.16,1.81,0.31,26695.00,3771.00,14.13,469.46,
0.73,1564.90,0.50,1.99,0.05,0.26,0.57,334.03,85.22,583.41,4.63,1.97,0.02,1.32,0.14,8.08,46.27,39.20,7.73,3.57,40.65,31.13,6.42,3.11,20.80,17.88,1.53,0.47,18960.00,1465.00,7.73,380.35,
0.45,1478.15,0.38,2.62,0.05,0.23,0.66,517.19,116.66,592.58,15.61,1.98,1.03,1.91,0.08,20.61,46.58,41.21,7.81,3.52,57.89,44.45,10.33,3.11,40.08,31.00,2.50,0.41,4248.00,351.00,8.26,295.03,
0.83,1551.78,0.59,1.70,0.05,0.22,0.18,94.61,20.71,518.15,4.77,1.90,0.00,1.04,0.02,7.73,45.86,40.39,7.79,3.30,40.41,31.02,6.46,2.93,18.06,15.63,1.34,0.37,11678.00,858.00,7.35,374.52,
0.44,1485.66,0.39,2.57,0.05,0.22,0.53,239.10,51.90,590.96,4.65,1.85,0.00,1.16,0.12,7.78,46.17,41.13,7.71,3.75,33.77,21.81,8.74,3.22,27.24,23.04,3.48,0.53,8400.00,409.00,4.87,275.28,
0.45,1485.14,0.38,2.63,0.05,0.21,0.53,245.32,51.65,578.51,4.98,1.99,0.00,1.23,0.00,8.19,45.33,40.56,7.68,3.07,56.56,44.14,9.77,2.66,28.51,22.41,2.06,0.41,4243.00,348.00,8.20,281.04,
0.87,1480.83,0.46,2.19,0.07,0.22,0.53,240.72,53.34,586.49,4.75,1.97,0.00,1.04,0.12,7.87,59.25,19.77,26.08,13.51,7.53,0.38,0.30,6.85,7.95,0.54,0.75,6.66,20667.00,1638.00,7.93,386.63,
100.02,3712.75,1.53,0.65,0.00,0.30,0.00,0.10,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,3004.00,548.00,18.24,1200.92,
100.00,3712.83,1.54,0.65,0.00,0.31,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2624.00,647.00,24.66,1195.86,
100.01,3725.00,1.55,0.65,0.00,0.30,0.00,0.08,0.02,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2505.00,511.00,20.40,1172.44,
100.00,3724.95,1.54,0.65,0.00,0.31,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2499.00,518.00,20.73,1428.83,
